City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
118,Ponta Do Sol,PT,63.23,overcast clouds,32.6667,-17.1,Hotel do Campo
119,Ocho Rios,JM,77.81,broken clouds,18.4025,-77.1048,Hibiscus Lodge
124,Bluff,NZ,57.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
126,Marawi,PH,71.29,broken clouds,7.9986,124.2928,Derogongan Residence
127,Ugoofaaru,MV,83.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
128,Atuona,PF,79.07,scattered clouds,-9.8,-139.0333,Villa Enata
129,Kahului,US,84.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
130,Havelock,US,71.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
131,Esperance,AU,57.74,clear sky,-33.8667,121.9,Hospitality Esperance
132,Ketchikan,US,52.27,scattered clouds,55.3422,-131.6461,Snow's Cove Lodge
133,Katsuura,JP,67.21,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
134,Akoupe,CI,75.65,scattered clouds,6.39,-3.9003,Hotel le Pavillon
135,New Norfolk,AU,56.91,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
136,North Bend,US,63.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
137,Broome,US,53.01,clear sky,42.2506,-75.833,Chenango Valley State Park
138,Alice Springs,AU,58.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
139,Katobu,ID,77.47,overcast clouds,-4.9408,122.5276,La Ode Husein
140,Tanggu,CN,57.16,clear sky,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
141,San Patricio,US,82.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
143,Cidreira,BR,71.37,moderate rain,-30.1811,-50.2056,Hotel Castelo
144,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
147,Demba,CD,71.31,broken clouds,-5.51,22.2667,Guest House Du Cinquantenaire
148,Isangel,VU,80.92,broken clouds,-19.55,169.2667,Tanna Lodge
150,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
151,Touros,BR,79.99,very heavy rain,-5.1989,-35.4608,INN NEW HORIZON
152,Patur,IN,89.13,overcast clouds,20.45,76.9333,Hotel Rana Washim Road Patur
153,Topeka,US,79.18,overcast clouds,39.0483,-95.678,Hotel Topeka At City Center
155,Jishou,CN,68.9,overcast clouds,28.3167,109.7167,7 Days Inn
157,Tautira,PF,79.18,light rain,-17.7333,-149.15,Pension Oaoa
159,Bintulu,MY,79.21,thunderstorm,3.1667,113.0333,900 Boutique INN
160,Hasaki,JP,66.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
162,Manokwari,ID,79.43,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
163,Namwala,ZM,64.13,overcast clouds,-15.7504,26.4384,Corner Point Lodge
164,Xam Nua,LA,63.63,clear sky,20.4197,104.0439,Xee Wang Guesthouse
165,Kikwit,CD,71.82,light rain,-5.041,18.8162,HOTEL PLACE YALABA
166,Takoradi,GH,80.76,few clouds,4.8845,-1.7554,Raybow International Hotel
167,Bure,ET,60.98,light rain,10.7,37.0667,Holiday
168,Tomatlan,MX,86.13,clear sky,19.9333,-105.25,El Salvial
170,Shingu,JP,67.75,overcast clouds,33.7333,135.9833,Shingu UI Hotel
171,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
173,Victoria,HK,78.96,clear sky,22.2855,114.1577,Mini Hotel Central
175,Barra Do Garcas,BR,74.5,scattered clouds,-15.89,-52.2567,Pousada Tropical
176,Sechura,PE,74.52,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
177,Rosarito,MX,65.25,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
180,Den Helder,NL,55.38,overcast clouds,52.9599,4.7593,Hotel Den Helder
181,Sola,VU,81.21,overcast clouds,-13.8833,167.55,Leumerus Bungalows
182,Shimoda,JP,66.56,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
183,Kudahuvadhoo,MV,82.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
184,Aljezur,PT,52.97,overcast clouds,37.3191,-8.8033,Amazigh Hostel
185,Pokhara,NP,66.78,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
186,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
188,Medea,DZ,51.55,scattered clouds,36.2642,2.7539,Hôtel M'Sallah
189,Port Hardy,CA,51.98,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
191,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Shenzhen,CN,78.85,few clouds,22.5455,114.0683,Grand Skylight
194,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
195,Oytal,KZ,59.04,scattered clouds,42.9057,73.2697,Sanatorium Ak-Niet
199,Emerald,AU,68.34,broken clouds,-23.5333,148.1667,The Irish Village
200,Bac Lieu,VN,82.24,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
201,Dunedin,NZ,59.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
202,Constitucion,CL,56.44,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
203,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
204,Hobyo,SO,82.85,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
