City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Samarai,PG,-10.6167,150.6667,82.78,76,88,10.49,overcast clouds
79,Chimbote,PE,-9.0853,-78.5783,67.05,87,84,8.1,broken clouds
80,Bang Racham,TH,14.892,100.3173,85.05,80,12,6.67,few clouds
81,Fortuna,US,40.5982,-124.1573,60.85,70,75,12.66,broken clouds
82,Fairbanks,US,64.8378,-147.7164,49.96,33,75,4.61,broken clouds
83,Gien,FR,47.6933,2.6309,53.55,90,99,7.0,overcast clouds
84,Madingou,CG,-4.1536,13.55,74.16,96,93,2.71,moderate rain
85,Vaini,TO,-21.2,-175.2,82.56,69,20,6.91,few clouds
86,Ossora,RU,59.2353,163.0719,26.73,85,95,3.42,overcast clouds
87,Mweka,CD,-4.85,21.5667,72.63,87,80,0.96,broken clouds
88,Khopoli,IN,18.7833,73.3333,84.49,59,84,2.48,light rain
89,Vilyuysk,RU,63.7553,121.6247,20.05,93,99,4.94,overcast clouds
90,Carnarvon,AU,-24.8667,113.6333,64.47,59,0,8.05,clear sky
91,Caravelas,BR,-17.7125,-39.2481,74.5,80,14,5.97,few clouds
92,Izhevskoye,RU,54.5567,40.8703,45.72,82,99,1.97,overcast clouds
93,Bubaque,GW,11.2833,-15.8333,76.86,80,80,15.86,broken clouds
94,Fort Nelson,CA,58.8053,-122.7002,38.5,91,100,0.34,overcast clouds
95,Provideniya,RU,64.3833,-173.3,33.01,65,20,1.41,few clouds
96,Chokurdakh,RU,70.6333,147.9167,9.77,93,100,6.38,overcast clouds
97,Sitka,US,57.0531,-135.33,51.69,50,100,13.8,overcast clouds
98,Atasu,KZ,48.6814,71.6433,47.05,60,100,8.14,overcast clouds
99,Lebu,CL,-37.6167,-73.65,54.9,90,79,8.63,broken clouds
100,Chuy,UY,-33.6971,-53.4616,54.72,95,100,6.02,moderate rain
101,Udachnyy,RU,66.4167,112.4,12.45,72,100,4.03,overcast clouds
102,Statesboro,US,32.4488,-81.7832,78.6,44,0,9.22,clear sky
103,Diffa,NE,13.3154,12.6113,88.5,12,43,4.63,scattered clouds
104,Pakxan,LA,18.3778,103.6601,73.8,86,27,3.22,scattered clouds
105,Jamestown,US,42.097,-79.2353,52.02,52,0,6.91,clear sky
106,Westport,US,41.1415,-73.3579,66.18,36,0,11.5,clear sky
107,Clyde River,CA,70.4692,-68.5914,-1.97,78,0,5.75,clear sky
108,Iqaluit,CA,63.7506,-68.5145,11.93,72,40,10.36,scattered clouds
109,Beloha,MG,-25.1667,45.05,73.81,76,97,10.74,overcast clouds
110,Pangnirtung,CA,66.1451,-65.7125,8.64,91,86,2.17,overcast clouds
111,Mitsamiouli,KM,-11.3847,43.2844,79.39,82,100,12.86,light rain
112,Olafsvik,IS,64.8945,-23.7142,45.3,86,95,8.08,overcast clouds
113,Cherskiy,RU,68.75,161.3,23.23,89,99,7.45,overcast clouds
114,Hobart,AU,-42.8794,147.3294,57.25,70,20,12.66,few clouds
115,Tasiilaq,GL,65.6145,-37.6368,32.16,92,100,4.34,overcast clouds
116,East London,ZA,-33.0153,27.9116,63.91,91,99,10.71,moderate rain
117,Nioro,GM,13.35,-15.75,81.61,47,34,10.74,scattered clouds
118,Ponta Do Sol,PT,32.6667,-17.1,63.23,68,92,12.62,overcast clouds
119,Ocho Rios,JM,18.4025,-77.1048,77.81,81,59,8.59,broken clouds
120,Airai,TL,-8.9266,125.4092,63.23,74,71,2.64,broken clouds
121,Nikolskoye,RU,59.7035,30.7861,43.81,79,90,4.16,overcast clouds
122,Bousso,TD,10.4795,16.7117,90.46,36,60,3.47,broken clouds
123,Aanekoski,FI,62.6946,25.818,41.07,93,50,6.91,scattered clouds
124,Bluff,NZ,-46.6,168.3333,57.79,71,72,28.01,broken clouds
125,Ilulissat,GL,69.2167,-51.1,24.82,80,75,5.75,broken clouds
126,Marawi,PH,7.9986,124.2928,71.29,88,67,1.23,broken clouds
127,Ugoofaaru,MV,5.6667,73.0,83.07,72,100,1.59,overcast clouds
128,Atuona,PF,-9.8,-139.0333,79.07,75,35,12.3,scattered clouds
129,Kahului,US,20.8947,-156.47,84.22,70,75,23.02,broken clouds
130,Havelock,US,34.8791,-76.9013,71.98,70,88,3.0,overcast clouds
131,Esperance,AU,-33.8667,121.9,57.74,84,3,6.82,clear sky
132,Ketchikan,US,55.3422,-131.6461,52.27,62,40,19.57,scattered clouds
133,Katsuura,JP,35.1333,140.3,67.21,79,90,10.69,overcast clouds
134,Akoupe,CI,6.39,-3.9003,75.65,89,46,3.47,scattered clouds
135,New Norfolk,AU,-42.7826,147.0587,56.91,69,10,3.15,clear sky
136,North Bend,US,43.4065,-124.2243,63.25,75,0,10.36,clear sky
137,Broome,US,42.2506,-75.833,53.01,47,0,10.36,clear sky
138,Alice Springs,AU,-23.7,133.8833,58.55,55,93,0.0,overcast clouds
139,Katobu,ID,-4.9408,122.5276,77.47,88,85,0.78,overcast clouds
140,Tanggu,CN,39.0211,117.6469,57.16,51,0,10.25,clear sky
141,San Patricio,US,28.017,-97.5169,82.18,67,3,21.79,clear sky
142,Pesochnoye,RU,58.006,39.1772,45.66,69,78,3.2,broken clouds
143,Cidreira,BR,-30.1811,-50.2056,71.37,80,100,15.3,moderate rain
144,Kapaa,US,22.0752,-159.319,82.38,84,75,14.97,broken clouds
145,Lesnoy,RU,57.6198,63.0784,26.2,71,11,2.68,few clouds
146,Sechenovo,RU,55.2244,45.8906,35.78,76,12,3.78,few clouds
147,Demba,CD,-5.51,22.2667,71.31,85,63,1.36,broken clouds
148,Isangel,VU,-19.55,169.2667,80.92,62,80,11.03,broken clouds
149,Staraya Kulatka,RU,52.7167,47.6167,43.0,67,100,11.01,overcast clouds
150,Bengkulu,ID,-3.8004,102.2655,76.39,89,100,6.46,overcast clouds
151,Touros,BR,-5.1989,-35.4608,79.99,80,97,11.14,very heavy rain
152,Patur,IN,20.45,76.9333,89.13,29,86,5.73,overcast clouds
