City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Busselton,AU,2022-04-22 18:01:03,-33.65,115.3333,59.04,68,0,14.74
68,Nikolskoye,RU,2022-04-22 17:57:38,59.7035,30.7861,51.69,72,100,3.96
69,Huilong,CN,2022-04-22 18:05:25,31.8111,121.655,64.24,95,100,8.03
70,Talnakh,RU,2022-04-22 18:05:25,69.4865,88.3972,6.03,86,95,0.78
71,Torbay,CA,2022-04-22 18:03:19,47.6666,-52.7314,50.88,69,91,4.0
72,Saint-Philippe,RE,2022-04-22 18:00:57,-21.3585,55.7679,76.59,86,49,15.97
73,Svencioneliai,LT,2022-04-22 18:05:26,55.1667,26.0,48.04,66,93,9.42
74,Altamira,BR,2022-04-22 18:01:23,-3.2033,-52.2064,78.96,92,86,3.8
75,Severo-Kurilsk,RU,2022-04-22 18:02:12,50.6789,156.125,37.78,90,100,5.35
76,Mercedes,AR,2022-04-22 18:05:27,-34.6515,-59.4307,59.65,64,100,11.9
77,Vestmannaeyjar,IS,2022-04-22 18:05:27,63.4427,-20.2734,47.39,81,20,23.02
78,Srandakan,ID,2022-04-22 18:05:28,-7.9386,110.2506,77.22,89,87,4.47
79,Atambua,ID,2022-04-22 18:05:28,-9.1061,124.8925,73.18,87,100,4.16
80,Fukue,JP,2022-04-22 18:05:29,32.6881,128.8419,65.37,84,100,9.13
81,Marsaxlokk,MT,2022-04-22 18:05:29,35.8419,14.5431,64.08,72,0,11.5
82,Codrington,AU,2022-04-22 18:05:29,-38.2667,141.9667,45.88,86,23,7.2
83,Sao Filipe,CV,2022-04-22 18:05:30,14.8961,-24.4956,75.51,70,6,7.63
84,Adrar,MR,2022-04-22 18:05:30,20.5022,-10.0711,89.08,10,19,14.81
85,Qaanaaq,GL,2022-04-22 18:00:50,77.484,-69.3632,5.63,66,100,1.21
86,Kontagora,NG,2022-04-22 18:05:31,10.3999,5.4695,93.02,34,63,2.75
87,Mar Del Plata,AR,2022-04-22 18:05:31,-38.0023,-57.5575,62.62,68,75,19.57
88,Hella,NO,2022-04-22 18:06:32,67.2,14.4333,45.75,75,75,6.91
89,Hamilton,US,2022-04-22 18:06:32,39.1834,-84.5333,73.35,45,0,9.22
90,Avarua,CK,2022-04-22 18:00:46,-21.2078,-159.775,77.05,73,75,16.11
91,Ewo,CG,2022-04-22 18:06:33,-0.8725,14.8206,79.34,69,97,4.56
92,East London,ZA,2022-04-22 18:06:33,-33.0153,27.9116,63.54,94,20,14.97
93,Tazovskiy,RU,2022-04-22 18:06:34,67.4667,78.7,-2.61,100,86,7.49
94,Puerto Ayora,EC,2022-04-22 18:06:34,-0.7393,-90.3518,76.96,80,14,8.75
95,Lebork,PL,2022-04-22 18:06:35,54.5392,17.7501,48.92,64,5,10.18
96,Port-Cartier,CA,2022-04-22 18:06:35,50.0334,-66.8654,42.82,83,92,10.96
97,Constitucion,CL,2022-04-22 18:06:36,-35.3333,-72.4167,55.78,95,100,7.02
98,Goderich,CA,2022-04-22 18:01:01,43.7501,-81.7165,41.92,78,27,8.41
99,Aklavik,CA,2022-04-22 18:06:36,68.2191,-135.0107,15.89,91,50,15.82
100,Guane,CU,2022-04-22 18:06:37,22.2025,-84.0875,91.0,39,49,13.22
101,Tuktoyaktuk,CA,2022-04-22 18:01:00,69.4541,-133.0374,9.23,84,7,14.41
102,Ponta Do Sol,PT,2022-04-22 18:06:37,32.6667,-17.1,67.71,63,32,16.87
103,Painesville,US,2022-04-22 18:06:38,41.7245,-81.2457,64.54,60,0,9.22
104,Garissa,KE,2022-04-22 18:06:38,-0.4536,39.6401,84.81,63,100,13.4
105,New Norfolk,AU,2022-04-22 18:00:48,-42.7826,147.0587,46.71,76,2,3.15
106,Torrington,US,2022-04-22 18:04:07,41.8007,-73.1212,64.13,41,1,8.99
107,Livadiya,RU,2022-04-22 18:06:39,42.8692,132.6764,41.59,67,6,9.26
108,Biak,ID,2022-04-22 18:06:40,-0.9131,122.8766,76.73,84,84,2.13
109,Saint Anthony,US,2022-04-22 18:02:10,45.0205,-93.218,47.14,86,100,24.16
110,Coahuayana,MX,2022-04-22 18:06:40,18.7333,-103.6833,91.8,33,7,8.14
111,Virtsu,EE,2022-04-22 18:06:41,58.5716,23.5115,44.28,82,85,6.17
112,Kota Tinggi,MY,2022-04-22 18:06:41,1.7381,103.8999,80.64,92,56,2.82
113,Ibra,OM,2022-04-22 18:06:42,22.6906,58.5334,84.69,26,90,5.59
114,Laguna,US,2022-04-22 18:05:10,38.421,-121.4238,61.92,63,75,3.44
